Property name,property info,price range,flat_details,Average price,facing,Build up area,Posession date
G3,4 BHK Flat for sale in Dwarka Mor,₹65.0 L,,₹5.42 K/sq.ft,,None sq.ft,
The Ghar,2 BHK Flat for sale in Dwarka Mor,₹27.0 L,,₹4.5 K/sq.ft,,None sq.ft,
g3buildtech,2 BHK Flat for sale in Dwarka Mor,₹26.0 L,,₹4.73 K/sq.ft,,None sq.ft,
G3,3 BHK Flat for sale in Dwarka Mor,₹54.5 L,,₹6.06 K/sq.ft,,None sq.ft,
G3,3 BHK Flat for sale in Dwarka Mor,₹54.0 L,,₹6.0 K/sq.ft,,None sq.ft,
G3,3 BHK Flat for sale in Dwarka Mor,₹54.0 L,,₹6.0 K/sq.ft,,None sq.ft,
G3,3 BHK Flat for sale in Dwarka Mor,₹55.0 L,,₹6.11 K/sq.ft,,None sq.ft,
Sidharth Homes 1,2 BHK Flat for sale in Dwarka Mor,₹24.0 L,,₹4.36 K/sq.ft,,None sq.ft,
Sidharth Homes 1,2 BHK Flat for sale in Dwarka Mor,₹22.0 L,,₹4.89 K/sq.ft,,None sq.ft,
Nawada Housing Complex,2 BHK Flat for sale in Dwarka Mor,₹25.0 L,,₹4.5 K/sq.ft,,None sq.ft,
Sidharth Rathi Luxury Homes,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹50.98 L,,₹5.66 K/sq.ft,,None sq.ft,
G3 The Luxury Appartments,2 BHK Flat for sale in Dwarka Mor,₹30.0 L,,₹5.0 K/sq.ft,,None sq.ft,
Shiv Mahima Smart Floors,3 BHK Flat for sale in Dwarka Mor,₹54.0 L,,₹6.0 K/sq.ft,,None sq.ft,
RP Luxury Floors,3 BHK Flat for sale in Dwarka Mor,₹51.75 L,,₹5.75 K/sq.ft,,None sq.ft,
RP Luxury Floors,3 BHK Flat for sale in Dwarka Mor,₹52.0 L,,₹5.78 K/sq.ft,,None sq.ft,
RP,4 BHK Independent Builder Floor for sale in Dwarka Mor,₹57.5 L,,₹5.11 K/sq.ft,,None sq.ft,
RP,2 BHK Flat for sale in Dwarka Mor,₹33.5 L,,₹5.32 K/sq.ft,,None sq.ft,
RP Luxury Floors,3 BHK Flat for sale in Dwarka Mor,₹51.5 L,,₹5.72 K/sq.ft,,None sq.ft,
RP Affordable Flats,3 BHK Flat for sale in Dwarka Mor,₹53.0 L,,₹6.24 K/sq.ft,,None sq.ft,
RP,2 BHK Flat for sale in Dwarka Mor,₹32.5 L,,₹5.16 K/sq.ft,,None sq.ft,
